zip,geoid,state_name,county_name,city_name,aland,median_household_income,median_household_income_moe,average_household_income,average_household_income_moe,per_capita_income,per_capita_income_moe,percent_of_households_with_incomes_200000_or_more,percent_of_households_with_incomes_200000_or_more,householder_under_25_years,householder_under_25_years_moe,householder_25_to_44_years,householder_25_to_44_years_moe,householder_45_to_64_years,householder_45_to_64_years_moe,householder_65_years_and_over,householder_65_years_and_over_moe,hhi_total,hhi_lt_25k,hhi_25k_to_49k,hhi_50k_to_749k,hhi_75k_to_999k,hhi_100k_to_1490k,hhi_150k_to_1999k,hhi_200k_or_more,race_and_ethnicity_total,race_and_ethnicity_white,race_and_ethnicity_black,race_and_ethnicity_native,race_and_ethnicity_asian,race_and_ethnicity_islander,race_and_ethnicity_other,race_and_ethnicity_two,race_and_ethnicity_hispanic,population_density_sq_mi,age_total,age_female_0_to_9,age_female_10_to_19,age_female_20_to_29,age_female_30_to_39,age_female_40_to_49,age_female_50_to_59,age_female_60_to_69,age_female_70_plus,age_male_0_to_9,age_male_10_to_19,age_male_20_to_29,age_male_30_to_39,age_male_40_to_49,age_male_50_to_59,age_male_60_to_69,age_male_70_plus,median_age,educational_attainment_population_25_years_and_over,educational_attainment_no_diploma,educational_attainment_high_school,educational_attainment_some_college,educational_attainment_bachelors,educational_attainment_graduate,family_households_total,family_poverty_pct,employment_status_civilian_labor_force,unemployment_pct,housing_units,median_value_of_owner_occupied_units,households,hh_families,hh_mc_families,hh_mc_with_own_children_under_18,hh_sp_families,hh_sp_with_own_children_under_18,hh_non_families
90012,86000US90012,California,Los Angeles,Los Angeles,"8,379,980","$47,027","$6,684","$74,907","$5,557","$30,023","$2,287",6.2%,1.4%,"$35,804","$18,155","$83,373","$8,272","$42,095","$3,679","$15,589","$2,174","13,216","4,650","2,105","1,560","1,276","2,027",783,815,"36,552","6,088","4,877",287,"13,654",78,151,953,"10,464","11,297.1","36,552",860,741,"3,487","2,216","1,533","1,154","1,450","2,511",854,"1,291","6,450","5,588","3,507","2,181","1,356","1,373",35.3,"28,848",28.2%,17.8%,20.9%,22.0%,11.0%,"4,918",19.0%,"15,599",7.3%,"14,156","$533,200","13,216","4,918","3,393","1,057","1,525",632,"8,298"
90013,86000US90013,California,Los Angeles,Los Angeles,"1,737,688","$22,316","$3,832","$65,566","$10,758","$41,048","$7,270",7.1%,2.2%,"$31,755","$28,808","$73,971","$18,898","$11,228",$701,"$12,461","$1,752","7,308","3,873",869,485,451,869,240,521,"12,559","3,816","3,550",96,"2,217",76,55,765,"1,984","18,718.9","12,559",195,0,930,"1,089",693,658,394,631,160,65,"1,381","1,795","1,476","1,557","1,023",512,43.3,"11,461",15.2%,19.8%,27.3%,25.6%,12.1%,"1,138",11.6%,"6,237",10.3%,"8,687","$657,400","7,308","1,138",922,187,216,69,"6,170"
90014,86000US90014,California,Los Angeles,Los Angeles,"733,426","$40,641","$11,401","$67,825","$8,026","$46,007","$7,218",6.0%,2.3%,"$36,029","$29,939","$84,722","$25,083","$12,017","$4,799","$12,041","$1,040","5,644","2,525",534,567,446,916,320,336,"8,688","3,310","2,040",37,"1,608",0,56,357,"1,280","30,680.4","8,688",63,14,713,"1,013",525,158,475,521,38,31,994,"1,208",839,795,964,337,41.7,"8,048",14.0%,16.4%,25.5%,31.7%,12.4%,709,16.5%,"5,152",7.9%,"6,305","$544,500","5,644",709,644,34,65,33,"4,935"
90015,86000US90015,California,Los Angeles,Los Angeles,"4,430,399","$43,890","$4,018","$80,234","$6,608","$37,408","$3,154",10.5%,2.6%,"$18,043","$17,923","$62,545","$17,132","$43,309","$7,510","$17,643","$3,636","10,270","3,351","2,315",936,814,"1,124",650,"1,080","22,651","3,043","1,496",12,"3,560",0,38,447,"14,055","13,241.7","22,651",949,"1,317","2,901","2,197","1,450",967,594,759,"1,253","1,239","2,770","2,378","1,802","1,005",699,371,31.9,"15,662",27.4%,14.0%,19.4%,24.1%,15.2%,"3,833",23.5%,"13,586",6.2%,"11,655","$705,000","10,270","3,833","2,138",818,"1,695",856,"6,437"
90016,86000US90016,California,Los Angeles,Culver City; Los Angeles,"9,394,067","$48,715","$2,988","$66,037","$2,943","$26,323","$1,154",3.8%,0.9%,"$27,217","$23,871","$52,179","$4,575","$54,135","$5,004","$38,759","$4,084","17,218","4,143","4,649","2,923","2,023","2,132",689,659,"45,899","4,344","13,625",50,"2,369",49,306,"1,098","24,058","12,654.6","45,899","2,003","2,555","3,433","3,290","3,411","3,263","2,584","2,440","2,621","2,825","4,258","3,529","3,396","2,646","2,181","1,464",37.4,"32,742",25.1%,21.4%,28.9%,15.9%,8.7%,"10,167",13.4%,"24,180",5.2%,"18,733","$566,600","17,218","10,167","5,870","2,543","4,297","1,474","7,051"
90017,86000US90017,California,Los Angeles,Los Angeles,"1,881,085","$35,605","$3,898","$63,540","$5,696","$27,359","$2,456",4.6%,1.3%,"$30,034","$9,002","$48,401","$5,544","$35,719","$4,982","$14,471","$2,253","11,510","4,075","3,026","1,392",904,877,706,530,"27,723","2,996","2,234",0,"4,611",68,23,548,"17,243","38,170.7","27,723","1,363","1,551","3,037","2,211","1,823","1,092",911,830,"1,944","1,571","3,269","3,338","1,822","1,260",908,793,31.7,"18,995",36.0%,14.9%,17.5%,21.3%,10.3%,"5,070",31.3%,"15,524",5.6%,"12,906","$651,500","11,510","5,070","2,669","1,051","2,401","1,390","6,440"
90018,86000US90018,California,Los Angeles,Los Angeles,"7,500,311","$45,984","$3,228","$67,108","$3,216","$22,530",$914,3.0%,0.7%,"$22,284","$18,948","$45,500","$5,390","$57,843","$6,867","$29,855","$4,285","16,568","4,511","4,225","2,653","1,788","1,827","1,064",500,"53,490","3,082","15,238",7,"2,627",117,187,674,"31,558","18,471.0","53,490","3,174","3,585","4,266","4,304","3,324","3,717","2,497","2,759","3,416","3,537","4,866","3,851","3,276","3,300","1,925","1,693",34.4,"35,357",29.2%,24.6%,25.3%,15.2%,5.7%,"10,935",16.6%,"27,740",7.8%,"17,711","$586,500","16,568","10,935","5,829","2,610","5,106","2,214","5,633"
90019,86000US90019,California,Los Angeles,Los Angeles,"10,070,057","$56,389","$2,633","$85,483","$4,087","$34,267","$1,750",8.5%,1.2%,"$29,688","$11,544","$61,118","$4,717","$65,874","$6,590","$34,846","$3,518","24,464","5,355","5,749","3,894","2,541","3,311","1,544","2,070","64,534","10,842","11,529",97,"10,829",32,937,"1,553","28,715","16,597.9","64,534","3,702","2,985","5,058","5,048","4,583","4,528","3,561","3,290","3,325","2,456","5,449","6,235","5,009","3,988","2,927","2,390",38.2,"47,202",23.7%,18.5%,23.0%,23.4%,11.3%,"13,415",13.0%,"36,987",4.3%,"26,551","$932,700","24,464","13,415","8,162","3,205","5,253","2,151","11,049"
90020,86000US90020,California,Los Angeles,Los Angeles,"2,927,480","$49,068","$2,461","$76,983","$7,559","$33,220","$3,307",3.8%,0.8%,"$48,821","$16,762","$51,511","$2,372","$50,154","$4,487","$29,806","$4,970","16,396","3,640","4,737","3,666","1,964","1,424",347,618,"39,189","4,859","2,555",154,"17,625",195,54,"1,067","12,680","34,671.1","39,189","1,988","1,741","4,078","3,671","2,520","2,947","1,539","1,533","2,352","1,680","3,907","3,775","2,960","1,848","1,636","1,014",34.4,"28,688",17.6%,21.6%,19.0%,31.5%,10.3%,"8,809",13.2%,"23,367",4.8%,"18,595","$633,700","16,396","8,809","5,903","2,375","2,906",927,"7,587"
90021,86000US90021,California,Los Angeles,Los Angeles,"5,362,537","$21,635","$10,247","$57,715","$12,704","$35,141","$7,440",6.1%,3.2%,-$1,-$1,"$37,000","$29,608","$17,368","$7,897","$11,628","$1,596","1,734",902,217,165,107,120,118,105,"2,945",726,516,23,168,0,17,83,"1,412","1,422.4","2,945",72,63,237,328,165,122,52,93,114,140,161,447,423,315,118,95,39.2,"2,445",32.9%,15.0%,22.5%,21.3%,8.2%,376,16.2%,"1,758",16.4%,"2,010","$888,900","1,734",376,237,119,139,52,"1,358"
90022,86000US90022,California,Los Angeles,Commerce; East Los Angeles; Monterey Park,"11,348,382","$46,051","$1,900","$59,342","$2,492","$16,949",$764,1.4%,0.6%,"$40,927","$2,472","$46,428","$3,287","$52,859","$5,707","$36,569","$6,894","17,603","4,321","5,204","3,312","2,025","1,937",558,246,"67,014","1,356",227,166,753,24,92,116,"64,280","15,294.3","67,014","4,843","5,134","5,260","4,865","4,264","3,963","2,937","2,739","4,925","5,092","5,300","5,233","4,030","3,826","2,751","1,852",32.6,"41,980",46.1%,24.8%,20.3%,6.9%,1.9%,"14,425",16.7%,"32,558",9.3%,"18,421","$416,900","17,603","14,425","8,369","3,995","6,056","2,505","3,178"
90023,86000US90023,California,Los Angeles,Commerce; East Los Angeles; Los Angeles,"10,940,489","$42,972","$2,092","$54,607","$2,533","$15,094",$715,1.9%,0.7%,"$44,188","$13,367","$44,057","$3,063","$49,071","$4,603","$24,664","$3,190","11,691","3,333","3,458","2,052","1,238","1,096",290,224,"46,680",608,549,9,371,0,0,110,"45,033","11,050.8","46,680","3,117","3,660","3,710","3,235","3,423","2,182","1,812","1,856","3,505","4,326","3,980","3,513","3,118","2,360","1,520","1,363",31.4,"27,834",52.1%,24.4%,16.8%,4.8%,1.8%,"9,409",22.1%,"21,679",7.6%,"12,216","$427,300","11,691","9,409","5,045","2,682","4,364","2,013","2,282"
90024,86000US90024,California,Los Angeles,Los Angeles,"7,605,358","$65,855","$5,971","$135,393","$11,647","$46,935","$3,438",18.0%,2.2%,"$11,634","$3,630","$76,830","$13,195","$112,377","$19,460","$95,058","$18,150","16,515","4,474","2,346","1,907","1,375","2,360","1,081","2,972","51,627","26,033","1,226",60,"14,336",95,130,"2,911","6,836","17,581.5","51,627","1,426","7,310","10,270","2,119","1,534","1,800","1,617","2,587","1,127","5,073","8,193","2,631","1,104","1,465","1,467","1,904",22.6,"22,164",3.0%,7.1%,17.4%,33.6%,39.0%,"5,614",7.9%,"23,490",7.9%,"19,519","$1,184,100","16,515","5,614","4,368","1,704","1,246",395,"10,901"
90025,86000US90025,California,Los Angeles,Los Angeles,"6,654,367","$87,280","$5,407","$117,163","$6,429","$57,137","$3,476",13.9%,1.6%,"$53,028","$20,791","$99,444","$7,557","$93,072","$6,074","$51,424","$12,130","22,015","3,257","3,256","2,971","2,807","4,412","2,248","3,064","46,883","26,174","1,979",20,"9,468",13,147,"2,468","6,614","18,247.6","46,883","1,628",959,"5,437","4,980","3,229","1,950","2,156","2,483","1,955","1,397","6,215","6,397","3,002","1,699","1,735","1,661",34.0,"37,412",6.7%,8.2%,16.3%,40.9%,27.9%,"8,348",5.8%,"30,682",4.4%,"23,386","$867,400","22,015","8,348","6,227","2,344","2,121",663,"13,667"
90026,86000US90026,California,Los Angeles,Los Angeles,"10,940,041","$65,269","$2,939","$91,250","$3,937","$36,374","$1,564",8.5%,1.0%,"$51,379","$10,750","$74,513","$4,187","$63,609","$5,911","$39,299","$6,201","26,045","5,379","5,003","4,229","3,390","3,967","1,873","2,204","68,906","18,586","2,691",85,"10,020",143,79,"1,885","35,417","16,313.1","68,906","3,298","2,857","6,219","7,312","4,243","3,603","3,161","3,089","3,309","3,321","6,985","7,819","5,028","4,520","2,529","1,613",34.7,"51,111",22.0%,15.3%,22.3%,28.6%,11.8%,"12,819",16.1%,"42,254",6.4%,"27,689","$838,400","26,045","12,819","7,631","2,680","5,188","2,101","13,226"
90027,86000US90027,California,Los Angeles,Los Angeles,"21,066,614","$66,947","$2,605","$103,501","$5,027","$52,257","$2,565",10.0%,1.1%,"$40,000","$22,432","$79,448","$5,304","$68,200","$2,800","$28,833","$6,356","21,668","4,858","3,924","3,125","2,713","3,369","1,517","2,162","44,770","26,535","1,006",0,"5,818",76,159,"1,319","9,857","5,504.1","44,770","1,656",937,"4,459","4,940","3,164","2,713","2,406","2,764","1,780","1,312","3,492","5,285","3,360","2,566","2,354","1,582",38.1,"36,812",9.7%,14.0%,21.6%,35.7%,18.9%,"8,387",8.6%,"29,155",6.0%,"23,899","$1,146,900","21,668","8,387","6,036","2,141","2,351",778,"13,281"
90028,86000US90028,California,Los Angeles,Los Angeles,"3,947,879","$45,499","$4,740","$67,298","$4,752","$39,513","$2,720",4.8%,1.2%,"$43,477","$12,280","$61,608","$6,540","$47,763","$7,943","$13,316","$3,299","16,403","5,208","3,494","2,760","1,772","1,877",508,784,"29,774","13,678","2,845",105,"2,887",10,297,"1,152","8,800","19,533.1","29,774",520,726,"3,757","2,616","1,917","1,442","1,164","1,601",533,873,"3,883","3,780","2,985","1,621","1,242","1,114",36.3,"24,341",10.9%,15.8%,25.1%,35.3%,12.8%,"4,239",14.1%,"20,643",8.1%,"20,139","$792,800","16,403","4,239","2,549",509,"1,690",489,"12,164"
