zip,geoid,state_name,county_name,city_name,aland,median_household_income,median_household_income_moe,average_household_income,average_household_income_moe,per_capita_income,per_capita_income_moe,percent_of_households_with_incomes_200000_or_more,percent_of_households_with_incomes_200000_or_more,householder_under_25_years,householder_under_25_years_moe,householder_25_to_44_years,householder_25_to_44_years_moe,householder_45_to_64_years,householder_45_to_64_years_moe,householder_65_years_and_over,householder_65_years_and_over_moe,hhi_total,hhi_lt_25k,hhi_25k_to_49k,hhi_50k_to_749k,hhi_75k_to_999k,hhi_100k_to_1490k,hhi_150k_to_1999k,hhi_200k_or_more,race_and_ethnicity_total,race_and_ethnicity_white,race_and_ethnicity_black,race_and_ethnicity_native,race_and_ethnicity_asian,race_and_ethnicity_islander,race_and_ethnicity_other,race_and_ethnicity_two,race_and_ethnicity_hispanic,population_density_sq_mi,age_total,age_female_0_to_9,age_female_10_to_19,age_female_20_to_29,age_female_30_to_39,age_female_40_to_49,age_female_50_to_59,age_female_60_to_69,age_female_70_plus,age_male_0_to_9,age_male_10_to_19,age_male_20_to_29,age_male_30_to_39,age_male_40_to_49,age_male_50_to_59,age_male_60_to_69,age_male_70_plus,median_age,educational_attainment_population_25_years_and_over,educational_attainment_no_diploma,educational_attainment_high_school,educational_attainment_some_college,educational_attainment_bachelors,educational_attainment_graduate,family_households_total,family_poverty_pct,employment_status_civilian_labor_force,unemployment_pct,housing_units,median_value_of_owner_occupied_units,households,hh_families,hh_mc_families,hh_mc_with_own_children_under_18,hh_sp_families,hh_sp_with_own_children_under_18,hh_non_families
92070,86000US92070,California,San Diego,,"344,913,502","$55,417","$19,257","$84,816","$21,384","$36,196","$8,089",10.4%,8.1%,-$1,-$1,"$78,333","$71,114","$61,563","$29,835","$48,438","$35,575",328,82,76,35,24,64,13,34,786,350,0,249,4,0,0,20,163,5.9,786,25,29,16,33,48,46,67,94,63,41,33,44,51,25,83,88,50.8,614,16.1%,28.7%,36.0%,14.5%,4.7%,215,10.7%,314,6.7%,438,"$391,500",328,215,130,30,85,31,113
92071,86000US92071,California,San Diego,El Cajon; San Diego; Santee,"45,536,861","$87,334","$5,181","$100,321","$3,251","$35,003","$1,252",7.9%,1.4%,"$32,426","$22,241","$96,782","$3,799","$104,363","$2,832","$48,304","$5,792","19,168","1,843","3,161","3,207","2,767","4,396","2,288","1,506","57,710","39,692","1,258",377,"3,257",90,76,"2,639","10,321","3,282.4","57,710","3,634","3,453","3,533","4,417","4,238","4,115","3,437","3,392","3,787","3,413","3,795","4,090","3,608","3,780","2,905","2,113",38.2,"39,988",6.0%,26.5%,37.9%,20.8%,8.8%,"13,963",4.8%,"29,589",5.3%,"20,008","$445,400","19,168","13,963","10,525","4,753","3,438","1,523","5,205"
92075,86000US92075,California,San Diego,Encinitas; San Diego; Solana Beach,"9,172,786","$106,934","$5,360","$151,720","$12,629","$64,310","$6,114",24.9%,3.9%,"$60,743","$38,708","$106,350","$10,477","$135,455","$28,701","$79,758","$23,886","5,299",439,753,704,553,"1,039",492,"1,319","12,752","9,765",96,16,618,0,0,320,"1,937","3,600.6","12,752",702,600,655,"1,023","1,004",743,"1,022","1,098",604,563,510,949,716,"1,074",619,870,45.1,"9,722",4.4%,9.6%,18.8%,37.4%,29.8%,"3,105",2.5%,"6,885",3.2%,"6,363","$1,202,900","5,299","3,105","2,502",901,603,316,"2,194"
92078,86000US92078,California,San Diego,Lake San Marcos; San Marcos,"43,197,996","$85,335","$4,644","$112,929","$6,559","$40,428","$2,337",15.3%,2.3%,"$38,936","$5,385","$119,790","$9,724","$107,090","$11,591","$50,500","$7,364","17,532","2,649","2,908","2,383","1,813","3,273","1,824","2,682","50,510","27,489","1,521",260,"4,885",110,92,"1,776","14,377","3,028.4","50,510","3,773","3,025","2,687","3,483","3,618","2,493","3,215","3,461","3,388","3,963","2,898","3,245","3,951","2,388","2,690","2,232",38.8,"33,391",9.0%,16.7%,28.2%,30.5%,15.7%,"12,011",5.4%,"23,946",3.6%,"18,729","$572,100","17,532","12,011","9,604","4,759","2,407","1,276","5,521"
92081,86000US92081,California,San Diego,Carlsbad; Oceanside; Vista,"22,990,917","$82,989","$6,150","$98,388","$5,682","$36,173","$2,362",6.6%,1.8%,"$29,327","$19,463","$87,119","$10,522","$98,333","$11,875","$56,693","$11,774","10,280","1,044","1,775","1,658","1,629","2,227","1,273",674,"29,596","17,704",697,22,"1,890",21,90,"1,002","8,170","3,334.1","29,596","1,867","1,821","2,225","2,006","1,814","2,062","1,332","1,607","1,671","1,869","2,658","2,119","1,594","2,460","1,315","1,176",35.9,"20,396",8.4%,18.4%,39.1%,22.0%,12.1%,"7,248",3.8%,"15,978",4.9%,"10,598","$550,300","10,280","7,248","5,451","2,389","1,797",905,"3,032"
92082,86000US92082,California,San Diego,Escondido; Pala; Valley Center,"318,246,952","$95,889","$7,537","$113,499","$8,818","$37,962","$3,496",13.9%,3.6%,"$53,438","$23,446","$105,146","$38,593","$125,000","$16,846","$77,545","$17,973","5,992",849,689,848,757,"1,268",749,832,"18,705","11,455",114,925,575,21,28,768,"4,819",152.2,"18,705","1,032","1,248","1,280",854,959,"1,652","1,129","1,180","1,033","1,168","1,079","1,289","1,019","1,396","1,245","1,142",42.9,"13,028",9.1%,22.8%,36.9%,21.1%,10.1%,"4,732",6.7%,"8,863",4.6%,"6,542","$591,600","5,992","4,732","3,881","1,321",851,414,"1,260"
92083,86000US92083,California,San Diego,Oceanside; Vista,"14,413,610","$67,693","$3,607","$78,693","$3,813","$24,157","$1,199",4.5%,1.4%,"$53,897","$9,025","$67,019","$6,166","$73,438","$8,965","$54,875","$8,993","11,274","1,607","2,182","2,565","1,900","1,855",660,505,"39,509","11,435","1,390",48,"1,440",360,19,638,"24,179","7,099.4","39,509","3,018","2,573","3,154","3,015","2,571","2,269","1,483","1,084","3,274","3,027","3,644","3,082","2,737","2,161","1,491",926,31.9,"24,167",25.9%,28.5%,28.9%,11.1%,5.6%,"8,351",10.3%,"20,864",4.4%,"11,939","$421,900","11,274","8,351","5,831","2,966","2,520","1,487","2,923"
92084,86000US92084,California,San Diego,Bonsall; San Marcos; Vista,"67,771,250","$73,645","$4,800","$98,395","$4,558","$30,430","$1,556",8.7%,1.5%,"$48,657","$13,200","$66,441","$6,584","$95,054","$11,997","$61,519","$5,042","14,877","1,505","2,918","3,145","1,792","2,643","1,577","1,297","51,619","22,337","1,441",275,"1,225",45,51,793,"25,452","1,972.7","51,619","3,219","3,235","4,032","3,617","3,183","3,078","2,531","2,445","4,373","3,361","4,469","3,516","2,946","3,374","2,440","1,800",34.3,"33,601",20.7%,24.1%,30.2%,17.9%,7.1%,"11,140",7.3%,"26,593",4.8%,"15,429","$548,400","14,877","11,140","8,382","3,648","2,758","1,268","3,737"
92086,86000US92086,California,San Diego,,"570,899,210","$41,083","$5,767","$75,867","$16,454","$34,688","$8,714",5.6%,3.0%,-$1,-$1,"$39,583","$35,001","$85,208","$25,368","$37,196","$5,350",658,161,211,88,84,60,17,37,"1,543","1,105",27,107,54,0,0,8,242,7.0,"1,543",59,23,65,85,66,41,236,217,16,32,81,81,30,106,185,220,62.3,"1,371",10.5%,27.4%,41.2%,11.7%,9.3%,437,5.0%,501,5.8%,909,"$196,700",658,437,322,16,115,38,221
92091,86000US92091,California,San Diego,Fairbanks Ranch,"1,690,148","$155,789","$24,590","$195,055","$59,690","$97,664","$32,247",37.1%,14.7%,-$1,-$1,-$1,-$1,"$164,609","$77,990","$155,241","$38,588",638,123,63,38,0,77,100,237,"1,313","1,055",0,0,146,0,0,46,66,"2,012.0","1,313",19,53,82,10,88,123,87,237,34,38,49,5,26,112,161,189,60.9,"1,111",1.4%,9.5%,19.8%,49.5%,19.7%,322,13.4%,591,3.9%,733,"$911,900",638,322,243,30,79,41,316
92101,86000US92101,California,San Diego,San Diego,"12,218,128","$71,925","$4,933","$103,467","$6,695","$63,001","$4,117",11.8%,1.5%,"$52,366","$16,059","$88,413","$6,888","$66,081","$15,639","$26,076","$6,931","24,355","5,804","3,551","3,259","2,930","3,799","2,133","2,879","41,159","24,188","3,678",108,"3,335",151,165,"1,220","8,314","8,724.8","41,159",658,270,"4,496","4,362","1,728","2,185","2,101","2,298",838,566,"4,548","6,010","3,572","3,008","2,550","1,969",38.5,"36,685",6.6%,12.9%,27.2%,31.3%,22.0%,"6,471",4.5%,"24,676",5.5%,"28,420","$610,300","24,355","6,471","5,163",585,"1,308",660,"17,884"
92102,86000US92102,California,San Diego,San Diego,"12,008,565","$51,744","$2,758","$67,709","$2,819","$24,406","$1,157",3.8%,1.0%,"$36,702","$13,460","$56,137","$3,282","$53,881","$4,666","$35,789","$10,997","14,757","3,138","3,988","3,000","1,661","1,850",564,556,"44,010","9,745","3,960",179,"2,811",81,50,957,"26,227","9,492.0","44,010","2,729","2,427","3,900","3,958","2,771","2,293","1,675","1,517","2,899","2,932","3,858","4,429","3,332","2,506","1,524","1,260",33.3,"30,146",27.3%,20.9%,28.5%,15.7%,7.6%,"8,489",17.8%,"23,771",5.0%,"15,896","$429,000","14,757","8,489","5,223","2,291","3,266","1,693","6,268"
92103,86000US92103,California,San Diego,San Diego,"9,755,531","$78,720","$5,175","$111,680","$5,586","$60,318","$2,852",12.2%,1.5%,"$39,853","$9,863","$87,396","$4,777","$86,739","$8,694","$57,641","$8,752","18,273","2,835","2,956","2,903","2,603","3,107","1,634","2,235","34,700","23,523","1,481",81,"2,253",24,117,"1,107","6,114","9,212.5","34,700","1,226","1,194","3,499","3,558","1,929","1,881","1,771","2,825","1,073",531,"2,510","3,661","2,877","2,331","1,825","2,009",40.2,"29,192",3.6%,9.2%,23.4%,35.4%,28.4%,"6,620",2.9%,"22,294",3.7%,"20,158","$774,700","18,273","6,620","5,327","1,665","1,293",540,"11,653"
92104,86000US92104,California,San Diego,San Diego,"9,808,401","$67,668","$3,819","$86,445","$3,893","$41,888","$2,133",6.2%,0.9%,"$48,071","$6,203","$73,195","$4,277","$72,168","$7,882","$38,750","$11,856","21,077","3,148","4,571","3,931","2,914","3,789","1,421","1,303","45,435","22,927","3,160",82,"2,556",259,47,"1,616","14,788","11,997.5","45,435","2,156","1,402","5,375","5,148","2,982","2,266","2,185","1,239","2,233","1,480","4,940","5,446","3,225","2,503","1,949",906,33.9,"35,361",10.4%,13.0%,27.3%,30.5%,18.8%,"8,659",7.0%,"30,199",4.8%,"23,233","$608,100","21,077","8,659","5,943","2,203","2,716","1,465","12,418"
92105,86000US92105,California,San Diego,San Diego,"14,423,444","$43,282","$2,163","$56,959","$1,916","$18,647",$748,1.4%,0.4%,"$39,333","$8,234","$41,816","$2,500","$49,753","$3,993","$28,255","$3,967","21,958","6,336","6,050","3,938","2,339","2,338",639,318,"73,623","9,463","9,801",9,"11,864",58,131,"1,606","40,691","13,220.3","73,623","5,395","5,184","6,451","5,097","4,697","4,536","2,841","2,458","5,172","5,352","7,340","5,833","4,344","4,044","2,776","2,103",31.5,"46,030",35.2%,23.5%,25.8%,10.9%,4.6%,"15,338",23.3%,"36,572",8.4%,"23,329","$398,400","21,958","15,338","9,136","4,429","6,202","3,058","6,620"
92106,86000US92106,California,San Diego,San Diego,"14,645,924","$103,840","$8,196","$153,416","$15,724","$60,984","$5,703",23.3%,3.8%,"$41,307","$4,356","$109,861","$7,856","$119,173","$32,125","$92,891","$23,952","7,711",847,976,"1,228",657,"1,521",683,"1,799","20,155","14,634",611,20,"1,195",142,85,862,"2,606","3,564.2","20,155","1,259","1,302","1,293","1,049","1,380","1,386",992,"1,276","1,216","1,042","1,685","1,517","1,329",995,"1,234","1,200",38.8,"13,850",4.6%,11.7%,25.8%,27.7%,30.3%,"4,780",3.1%,"9,339",5.3%,"8,346","$1,032,700","7,711","4,780","3,939","1,551",841,453,"2,931"
92107,86000US92107,California,San Diego,San Diego,"8,123,930","$85,299","$7,444","$110,959","$6,089","$50,759","$2,697",11.4%,1.7%,"$52,279","$22,054","$90,054","$9,860","$91,579","$16,336","$72,433","$9,693","13,743","1,497","2,232","2,323","1,812","2,628","1,682","1,569","31,223","24,126",826,200,"1,123",45,32,"1,029","3,842","9,954.2","31,223","1,418","1,294","3,322","3,180","1,652","1,642","1,592","1,363","1,235","1,049","3,113","3,818","2,256","1,792","1,436","1,061",35.8,"23,924",3.6%,12.3%,26.5%,34.5%,23.1%,"5,636",4.7%,"19,590",3.1%,"14,691","$859,700","13,743","5,636","4,320","1,577","1,316",593,"8,107"
92108,86000US92108,California,San Diego,San Diego,"11,404,359","$75,296","$5,983","$92,207","$5,724","$47,724","$3,048",6.5%,1.8%,"$40,546","$15,050","$86,533","$10,814","$84,257","$9,728","$51,447","$13,758","11,072","1,472","1,907","2,133","1,389","2,448",999,724,"22,280","12,239","1,688",24,"2,113",0,12,"1,154","5,050","5,059.9","22,280",781,623,"3,255","2,852","1,097","1,040",992,532,919,753,"3,300","2,615","1,398",794,918,411,31.9,"16,693",2.8%,11.5%,28.1%,36.5%,21.2%,"4,609",7.1%,"13,833",6.8%,"12,376","$384,800","11,072","4,609","3,464","1,089","1,145",350,"6,463"
92109,86000US92109,California,San Diego,San Diego,"19,678,062","$80,467","$4,876","$105,397","$4,085","$51,870","$1,940",10.9%,1.3%,"$54,712","$6,419","$87,712","$6,246","$76,049","$9,715","$62,052","$9,863","21,973","2,425","3,873","3,833","3,394","4,009","2,038","2,401","47,111","35,380",622,69,"1,794",195,53,"1,703","7,295","6,200.7","47,111","1,737","1,054","7,004","4,877","2,232","1,660","1,815","1,786","1,679","1,151","7,384","6,532","3,078","1,839","1,634","1,649",32.1,"36,149",2.9%,8.7%,22.4%,43.9%,22.0%,"7,629",4.4%,"32,073",3.0%,"26,314","$888,800","21,973","7,629","5,853","1,962","1,776",849,"14,344"
92110,86000US92110,California,San Diego,San Diego,"12,591,847","$73,651","$2,870","$98,005","$4,180","$39,476","$1,888",10.7%,1.6%,"$36,528","$27,217","$81,167","$6,626","$84,196","$18,772","$49,523","$11,806","11,388","1,971","1,899","2,008","1,390","2,117",788,"1,215","30,108","19,465","1,457",79,"1,917",74,21,"1,117","5,978","6,192.8","30,108","1,269","2,950","3,335","2,039","1,676","1,256","1,551","1,429","1,281","1,840","3,028","2,538","1,593","1,981","1,329","1,013",33.0,"19,661",4.9%,16.6%,31.8%,30.0%,16.7%,"5,568",7.3%,"15,570",5.8%,"12,425","$592,200","11,388","5,568","4,187","1,745","1,381",617,"5,820"
92111,86000US92111,California,San Diego,San Diego,"21,913,837","$74,217","$5,411","$91,404","$4,258","$33,111","$1,525",8.2%,1.7%,"$28,438","$11,751","$86,557","$4,788","$81,930","$4,017","$49,597","$4,623","17,120","2,592","3,220","2,805","2,648","3,016","1,443","1,396","50,693","20,649","2,450",111,"9,737",164,156,"1,834","15,592","5,991.4","50,693","2,520","2,381","4,158","3,799","3,051","3,109","2,608","2,609","2,968","3,195","4,829","5,048","3,428","2,770","2,328","1,892",35.6,"35,345",14.6%,16.7%,29.2%,26.5%,13.0%,"11,022",9.4%,"27,817",7.3%,"17,844","$543,600","17,120","11,022","7,373","3,074","3,649","1,555","6,098"
92113,86000US92113,California,San Diego,San Diego,"13,640,106","$40,310","$2,863","$52,941","$2,709","$16,511",$774,1.7%,0.7%,"$33,929","$6,682","$39,194","$4,659","$45,619","$3,072","$32,422","$3,024","13,581","3,949","4,212","2,564","1,257","1,100",268,231,"58,408","5,541","6,319",68,"1,917",102,25,732,"43,704","11,090.5","58,408","4,300","4,103","5,864","3,503","3,626","2,724","1,775","1,590","4,586","5,162","8,693","4,126","3,269","2,324","1,768",995,26.8,"31,592",38.2%,27.6%,25.6%,6.4%,2.2%,"10,745",25.2%,"24,404",9.9%,"14,476","$353,900","13,581","10,745","6,139","3,576","4,606","2,396","2,836"
92114,86000US92114,California,San Diego,San Diego,"21,336,482","$66,015","$2,650","$80,744","$3,171","$23,514",$995,3.9%,1.0%,"$60,333","$42,180","$60,329","$3,742","$80,482","$6,288","$58,240","$3,652","18,081","2,685","3,860","3,687","2,674","3,212","1,259",704,"68,851","6,454","14,133",273,"15,032",430,27,"2,209","30,293","8,357.7","68,851","3,666","4,448","5,416","4,442","4,733","4,336","3,657","3,665","4,542","4,719","6,032","4,864","3,816","4,079","3,696","2,740",35.5,"46,254",21.7%,25.0%,35.1%,13.9%,4.4%,"14,937",10.8%,"34,162",9.8%,"18,970","$415,100","18,081","14,937","9,901","3,930","5,036","1,819","3,144"
92115,86000US92115,California,San Diego,San Diego,"16,845,692","$51,636","$2,627","$73,784","$3,690","$25,970","$1,437",5.3%,1.1%,"$30,872","$6,894","$57,783","$3,199","$58,611","$3,714","$39,735","$6,499","21,203","5,432","4,875","3,977","2,178","2,570","1,041","1,130","64,343","25,985","7,244",117,"9,064",352,84,"2,332","19,165","9,892.6","64,343","3,405","5,895","7,663","4,779","3,021","3,377","2,563","2,047","3,420","4,350","9,436","4,344","2,875","3,288","2,142","1,738",28.3,"35,910",18.2%,18.4%,30.9%,20.2%,12.4%,"11,669",11.4%,"33,577",6.5%,"23,089","$499,100","21,203","11,669","7,526","3,408","4,143","1,882","9,534"
92116,86000US92116,California,San Diego,San Diego,"8,895,045","$74,559","$4,830","$98,095","$5,071","$49,349","$2,793",9.0%,1.2%,"$44,643","$5,116","$82,033","$6,204","$76,983","$11,399","$56,140","$8,775","16,317","2,156","2,982","3,054","2,476","2,861","1,324","1,464","33,408","18,321","2,213",137,"1,879",17,8,"1,412","9,421","9,727.5","33,408","1,406","1,097","3,285","3,921","2,243","1,675","1,765","1,161","1,367",875,"2,424","4,359","2,537","2,627","1,477","1,189",36.2,"26,640",6.9%,12.3%,27.8%,32.4%,20.6%,"6,667",6.9%,"22,617",4.0%,"17,897","$639,800","16,317","6,667","4,862","1,528","1,805",873,"9,650"
92117,86000US92117,California,San Diego,San Diego,"22,756,758","$86,243","$6,393","$104,505","$3,745","$40,611","$1,583",10.6%,1.5%,"$63,325","$16,645","$101,809","$12,843","$100,067","$9,025","$61,907","$5,831","21,046","2,679","3,203","3,065","2,835","4,466","2,574","2,224","56,983","33,505","1,462",70,"6,463",85,133,"1,963","13,302","6,485.3","56,983","2,720","2,683","4,613","4,257","3,079","3,821","3,254","3,491","3,039","2,511","5,603","5,131","3,306","4,098","2,851","2,526",37.6,"41,515",8.0%,16.4%,30.0%,28.2%,17.5%,"13,121",6.3%,"32,732",3.8%,"21,913","$612,000","21,046","13,121","9,405","3,547","3,716","1,748","7,925"
92118,86000US92118,California,San Diego,Coronado; San Diego,"20,195,994","$108,967","$6,299","$157,746","$8,880","$63,460","$4,162",23.1%,2.3%,"$46,875","$12,540","$103,771","$11,175","$140,574","$15,443","$96,300","$11,304","8,435",857,813,987,"1,086","1,847",898,"1,947","22,548","17,151",588,58,686,9,40,556,"3,460","2,891.6","22,548",968,"1,429","1,070","1,065","1,343","1,543","1,623","1,747","1,113","1,380","2,264","1,208","1,460","1,231","1,556","1,548",42.2,"15,826",2.3%,8.9%,24.1%,33.3%,31.4%,"5,665",4.5%,"8,463",4.3%,"11,119","$1,617,000","8,435","5,665","4,983","1,949",682,329,"2,770"
92119,86000US92119,California,San Diego,San Diego,"17,724,953","$92,500","$8,338","$114,221","$7,097","$45,936","$3,062",13.1%,2.3%,"$78,516","$45,362","$114,429","$16,185","$102,614","$15,714","$57,463","$11,984","9,538","1,239","1,058","1,413","1,473","1,757","1,350","1,248","24,831","17,432",858,60,"1,420",20,31,725,"4,285","3,628.3","24,831","1,327","1,413","1,097","1,685","1,620","1,900","1,980","2,024","1,460","1,286","1,587","1,337","1,626","1,387","1,428","1,674",43.7,"18,229",5.0%,17.1%,29.0%,26.9%,22.1%,"6,576",5.2%,"12,598",3.4%,"9,815","$579,300","9,538","6,576","5,205","1,941","1,371",572,"2,962"
92120,86000US92120,California,San Diego,San Diego,"17,524,461","$97,747","$4,566","$124,451","$7,449","$48,925","$2,917",17.1%,2.3%,"$25,570","$10,141","$113,425","$9,631","$119,608","$9,555","$72,629","$9,097","11,755","1,377","1,478","1,648","1,552","2,284","1,406","2,010","30,550","19,988","1,508",52,"2,151",24,157,"1,025","5,645","4,515.1","30,550","1,551","1,233","2,406","2,196","1,831","1,802","1,699","1,985","2,073","1,456","2,593","2,120","2,083","1,848","1,789","1,885",39.3,"21,561",3.3%,14.8%,31.6%,30.9%,19.4%,"7,460",3.5%,"16,686",5.0%,"12,347","$615,100","11,755","7,460","6,098","2,381","1,362",437,"4,295"
92121,86000US92121,California,San Diego,Del Mar; San Diego,"31,744,024","$107,786","$7,935","$136,397","$11,392","$54,678","$5,147",21.5%,4.9%,"$16,563","$13,309","$108,839","$20,103","$163,182","$31,148","$102,738","$38,664","1,858",211,211,119,234,435,248,400,"4,729","2,462",51,0,"1,627",0,6,166,417,385.8,"4,729",368,188,460,384,301,253,130,91,184,142,878,425,383,273,181,88,31.8,"2,926",2.2%,4.9%,11.8%,41.2%,39.9%,976,1.2%,"3,001",6.3%,"1,949","$774,200","1,858",976,885,351,91,48,882
92122,86000US92122,California,San Diego,San Diego,"41,297,838","$79,816","$5,390","$101,188","$4,326","$43,620","$2,261",12.5%,1.8%,"$18,000","$6,115","$95,267","$6,848","$109,580","$11,335","$69,819","$7,265","19,957","3,628","2,982","2,727","2,692","3,286","2,147","2,495","48,071","23,550",839,219,"15,705",27,293,"1,819","5,619","3,014.8","48,071","1,698","1,337","8,025","3,970","2,111","1,958","1,793","2,576","1,831","2,192","8,244","4,989","2,196","1,671","1,559","1,921",30.4,"31,276",1.8%,6.4%,17.9%,34.7%,39.2%,"9,048",5.3%,"26,545",5.2%,"21,467","$732,600","19,957","9,048","7,145","2,473","1,903",868,"10,909"
92123,86000US92123,California,San Diego,San Diego,"21,199,395","$81,899","$3,983","$102,995","$6,191","$41,848","$2,565",10.6%,2.3%,"$59,306","$7,364","$85,750","$11,162","$97,292","$13,016","$62,188","$8,443","12,438","1,359","1,809","2,364","2,074","2,290","1,218","1,324","32,473","15,377","2,158",141,"5,796",254,148,"1,730","6,869","3,967.3","32,473","1,921","1,103","3,121","2,849","1,685","1,762","1,534","1,533","1,670","1,596","4,154","3,329","2,134","1,703","1,298","1,081",33.5,"23,248",5.4%,14.9%,32.5%,31.2%,16.0%,"7,323",7.5%,"18,872",5.8%,"13,194","$568,100","12,438","7,323","5,538","2,140","1,785",739,"5,115"
92124,86000US92124,California,San Diego,San Diego,"27,420,658","$93,147","$3,499","$115,106","$5,682","$40,551","$1,877",14.0%,2.2%,"$51,944","$34,179","$88,564","$5,400","$126,276","$13,451","$89,940","$10,391","11,148",922,"1,475","1,543","2,075","2,355","1,220","1,558","32,600","18,390","1,730",45,"4,382",67,101,"2,016","5,869","3,079.2","32,600","3,345","2,006","2,505","2,968","1,710","1,684","1,419","1,046","3,069","1,803","2,312","3,162","1,865","1,591","1,143",972,32.1,"20,315",2.2%,12.4%,34.2%,32.9%,18.3%,"7,996",7.0%,"14,431",4.2%,"11,762","$632,900","11,148","7,996","6,620","3,705","1,376",856,"3,152"
92126,86000US92126,California,San Diego,San Diego,"32,683,242","$96,915","$4,082","$112,829","$4,314","$37,081","$1,567",10.0%,1.3%,"$62,708","$20,235","$105,543","$5,382","$104,300","$3,115","$71,057","$5,736","25,218","2,226","3,278","4,005","3,446","6,137","3,611","2,515","82,658","23,283","3,250",204,"37,092",845,400,"4,798","12,786","6,550.2","82,658","4,467","3,841","7,806","6,629","4,707","5,142","4,187","3,437","4,864","4,427","8,672","7,734","5,047","4,755","4,281","2,662",34.5,"57,950",10.8%,14.5%,29.9%,29.5%,15.3%,"18,902",5.2%,"46,085",4.5%,"25,812","$547,100","25,218","18,902","15,343","6,874","3,559","1,346","6,316"
92127,86000US92127,California,San Diego,Fairbanks Ranch; San Diego,"57,149,233","$138,338","$6,803","$177,659","$11,813","$57,388","$3,780",33.1%,3.3%,-$1,-$1,"$140,742","$14,049","$160,313","$15,672","$47,361","$44,486","15,809","1,355","1,186","1,349","1,183","3,564","1,940","5,232","49,935","24,422",724,185,"17,010",0,0,"2,992","4,602","2,263.0","49,935","4,639","3,540","1,780","3,755","5,085","2,543","2,071","2,124","4,202","4,336","2,436","3,009","4,453","3,040","1,465","1,457",36.8,"31,432",2.3%,7.6%,18.5%,38.1%,33.5%,"12,679",3.2%,"23,341",5.5%,"16,249","$819,900","15,809","12,679","10,905","6,817","1,774","1,006","3,130"
92128,86000US92128,California,San Diego,San Diego,"28,967,730","$103,238","$4,234","$123,553","$4,883","$51,182","$2,164",16.0%,1.8%,"$64,852","$18,979","$119,407","$5,525","$120,672","$8,910","$64,487","$6,095","20,810","1,694","2,290","2,972","3,079","4,987","2,455","3,333","51,357","29,756","1,187",40,"11,872",204,261,"2,134","5,903","4,591.8","51,357","2,761","2,585","2,743","3,402","3,166","4,042","3,843","4,451","2,972","2,541","2,630","3,279","3,310","3,574","2,979","3,079",44.0,"38,473",3.1%,10.6%,24.7%,34.5%,27.1%,"14,018",3.4%,"26,690",5.0%,"21,567","$623,100","20,810","14,018","11,564","4,768","2,454",854,"6,792"
92129,86000US92129,California,San Diego,San Diego,"36,406,553","$125,250","$7,834","$148,479","$5,331","$50,304","$1,699",25.6%,2.0%,"$80,234","$17,323","$131,272","$9,518","$147,255","$8,695","$79,299","$10,986","18,043","1,680","1,469","1,847","2,000","3,592","2,837","4,618","54,762","26,604","1,267",167,"16,809",304,47,"3,151","6,413","3,895.8","54,762","3,446","4,008","2,693","3,708","4,585","4,497","3,241","1,908","3,354","4,037","3,357","3,249","4,180","3,997","2,719","1,783",39.3,"37,166",3.4%,9.6%,24.8%,35.2%,27.0%,"14,333",4.2%,"29,300",5.1%,"18,457","$722,200","18,043","14,333","12,037","5,816","2,296","1,313","3,710"
92130,86000US92130,California,San Diego,Fairbanks Ranch; San Diego,"47,814,706","$155,452","$6,216","$199,084","$9,792","$71,263","$3,407",37.1%,2.9%,"$30,341","$26,541","$145,228","$10,293","$175,323","$13,995","$111,953","$30,534","19,908","1,456","1,413","1,461","1,699","3,429","3,056","7,394","56,134","30,973",461,181,"17,091",28,224,"2,444","4,732","3,040.6","56,134","3,873","4,362","1,942","4,040","5,933","4,131","2,670","1,701","3,725","5,379","2,471","2,976","4,654","4,769","2,385","1,123",39.0,"36,965",1.5%,4.5%,14.6%,33.8%,45.6%,"15,347",4.4%,"28,981",4.8%,"20,892","$1,064,700","19,908","15,347","12,965","7,620","2,382","1,505","4,561"
92131,86000US92131,California,San Diego,San Diego,"65,240,748","$137,500","$6,497","$168,690","$7,723","$58,982","$2,547",30.3%,2.5%,"$55,662","$35,000","$142,620","$5,003","$156,810","$13,290","$103,182","$11,303","11,980",604,929,"1,352","1,160","2,690","1,610","3,635","34,727","19,131",778,25,"9,296",30,21,"1,659","3,787","1,378.6","34,727","2,647","2,510","1,420","2,142","2,870","2,788","2,014","1,325","2,355","2,712","1,570","2,005","2,852","2,580","1,570","1,367",40.0,"23,148",3.8%,6.7%,20.4%,37.3%,31.9%,"9,454",3.2%,"17,828",4.4%,"12,077","$790,200","11,980","9,454","8,297","4,293","1,157",727,"2,526"
92132,86000US92132,California,San Diego,San Diego,"83,674",-$1,-$1,-$1,-$1,-$1,-$1,-1.0%,-1.0%,-$1,-$1,-$1,-$1,-$1,-$1,-$1,-$1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0,0.0%,0,0.0%,0,-$1,0,0,0,0,0,0,0
